ciudad;ingpc;empleo;desempleo
10150;201.75;1;
10150;201.75;;
10150;201.75;;
10150;1400;1;
10150;313.5;1;
10150;313.5;1;
10150;313.5;;
10150;313.5;;
10150;1651.5;1;
10150;1651.5;1;
10150;250;;
10150;155;1;
10150;155;;
10150;265.25;1;
10150;265.25;1;
10150;265.25;;
10150;265.25;;
10150;474.5;1;
10150;474.5;1;
10150;474.5;1;
10150;474.5;;
10150;301.8;1;
10150;301.8;1;
10150;301.8;;
10150;301.8;;
10150;301.8;;
10150;937;1;
10150;937;1;
10150;780;;
10150;780;;
10150;74;1;
10150;74;;
10150;74;;
10150;74;;
10150;74;;
10150;400;;1
10150;256.75;1;
10150;256.75;1;
10150;256.75;;
10150;256.75;;
10150;1820;1;
10150;920;1;
10150;343.3333333;1;
10150;343.3333333;1;
10150;343.3333333;;
10150;690;;
10150;690;1;
10150;325;1;
10150;325;;
10150;190.4;1;
10150;190.4;1;
10150;190.4;;
10150;190.4;;
10150;190.4;;
10150;892.8;1;
10150;892.8;1;
10150;892.8;1;
10150;892.8;1;
10150;892.8;;
10150;150;;
10150;150;;
10150;531.5;;
10150;531.5;1;
10150;700;1;
10150;700;1;
10150;700;1;
10150;387.5;1;
10150;387.5;;
10150;161;1;
10150;161;;
10150;161;;
10150;204.75;1;
10150;204.75;;
10150;204.75;;
10150;204.75;;
10150;254.6666667;1;
10150;254.6666667;;
10150;254.6666667;;
10150;644;1;
10150;644;1;
10150;644;;
10150;380;;
10150;530;1;
10150;690;1;
10150;239;;
10150;239;1;
10150;239;;
10150;239;;
10150;150.25;1;
10150;150.25;1;
10150;150.25;;
10150;150.25;;
10150;242;1;
10150;242;;
10150;242;1;
10150;242;;1
10150;242;;
10150;525.5;1;
10150;525.5;;
10150;660;1;
10150;215;1;
10150;215;;1
10150;732.25;1;
10150;732.25;1;
10150;732.25;;
10150;732.25;;
10150;173.5;1;
10150;173.5;1;
10150;173.5;;
10150;173.5;;
10150;650.6666667;;
10150;650.6666667;;
10150;650.6666667;1;
10150;331.3333333;1;
10150;331.3333333;1;
10150;331.3333333;;
10150;331.3333333;;
10150;331.3333333;;
10150;331.3333333;;
10150;292.5;1;
10150;292.5;;
10150;402;1;
10150;402;1;
10150;402;1;
10150;402;1;
10150;402;1;
10150;402;1;
10150;266.6666667;1;
10150;266.6666667;1;
10150;266.6666667;;
10150;600;;
10150;446;1;
10150;446;1;
10150;446;;
10150;386;1;
10150;386;;
10150;386;;
10150;386;1;
10150;482.3333333;1;
10150;482.3333333;1;
10150;482.3333333;;
10150;600;1;
10150;157;1;
10150;157;1;
10150;157;;
10150;157;;
10150;157;;
10150;291.6666667;1;
10150;291.6666667;;
10150;291.6666667;;
10150;740;1;
10150;740;;
10150;740;;
10150;673.3333333;1;
10150;673.3333333;1;
10150;673.3333333;1;
10150;817;1;
10150;817;1;
10150;817;;
10150;1470;1;
10150;1470;1;
10150;465;1;
10150;465;;
10150;465;;
10150;206;;
10150;206;;
10150;147.5;1;
10150;147.5;1;
10150;147.5;;
10150;147.5;;
10150;653.5;;
10150;653.5;;
10150;653.5;1;
10150;653.5;1;
10150;653.5;1;
10150;653.5;;
10150;653.5;;
10150;653.5;;
10150;243.3333333;1;
10150;243.3333333;1;
10150;243.3333333;1;
10150;243.3333333;1;
10150;243.3333333;;
10150;243.3333333;;
10150;581.25;1;
10150;581.25;1;
10150;581.25;;
10150;581.25;;
10150;295.6666667;1;
10150;295.6666667;1;
10150;295.6666667;;1
10150;559;;
10150;559;1;
10150;1543.5;1;
10150;1543.5;1;
10150;317.5;1;
10150;317.5;;1
10150;183.3333333;1;
10150;183.3333333;;1
10150;183.3333333;;
10150;315;;
10150;315;;
10150;400;1;
10150;230;1;
10150;230;;
10150;230;;
10150;208.3333333;1;
10150;208.3333333;1;
10150;208.3333333;;
10150;208.3333333;1;
10150;208.3333333;;
10150;208.3333333;;
10150;540.75;1;
10150;540.75;1;
10150;540.75;;
10150;540.75;;
10150;1313.75;1;
10150;1313.75;1;
10150;1313.75;;
10150;1313.75;;
10150;240;1;
10150;240;;
10150;240;;
10150;240;;
10150;240;;
10150;325;;
10150;325;1;
10150;325;1;
10150;325;;
10150;487;1;
10150;487;1;
10150;487;;
10150;487;;
10150;483.6;1;
10150;483.6;;
10150;483.6;;
10150;483.6;;
10150;483.6;;
10150;1458.75;1;
10150;1458.75;1;
10150;1458.75;;
10150;1458.75;;
10150;1750;;
10150;1750;1;
10150;1750;;
10150;1750;;
10150;120;;1
10150;270;;
10150;270;1;
10150;270;1;
10150;270;;
10150;212.5;1;
10150;212.5;1;
10150;212.5;;
10150;212.5;;
10150;568;1;
